######################## WALPOLE_monthly_md_average.csv ########################
# csvFilter
#     --header="Day"
#     --header="Month"
#     --header="Average Rainfall"
#     --prelude="from ast import literal_eval as make_tuple"
#     --datecol="date"
#     --outfile="WALPOLE_monthly_md_average.csv"
#     --data="make_tuple(Date)[1]"
#     --data="make_tuple(Date)[0]"
#     --data="round(Decimal(Rainfall)/int(Count), 3)"
#     --column="text"
################################################################################
# csvCollect
#     --header="Date"
#     --score="Decimal(Rainfall)"
#     --score="1"
#     --datecol="date"
#     --sort="Date"
#     --data="[(int(Month),int(Day))]"
#     --infile="WALPOLE_monthly_ymd.csv"
#     --score-header="Rainfall"
#     --score-header="Count"
########################### WALPOLE_monthly_ymd.csv ############################
# csvFilter
#     --header="Year"
#     --header="Month"
#     --header="Day"
#     --header="Rainfall"
#     --exclude="Date"
#     --datecol="date"
#     --outfile="WALPOLE_monthly_ymd.csv"
#     --data="dateparser.parse(Date).year"
#     --data="dateparser.parse(Date).month"
#     --data="dateparser.parse(Date).day"
#     --data="round(Decimal(Rainfall), 2)"
#     --column="text"
################################################################################
# csvCollect
#     --header="Date"
#     --score="round(Decimal(Rainfall or 0)/13, 2)"
#     --datecol="Date"
#     --sort="Date"
#     --data="[(dateparser.parse(Date) + datetime.timedelta(days=n)).date() for n in range (-6, 7)]"
#     --score-header="Rainfall"
################################################################################
# csvFilter
#     --pipe="sqlite3 -header -csv WA.sqlite "SELECT Date, RainFall, Period from Rainfall, Site WHERE Site.Site = Rainfall.Site AND Name = \"WALPOLE\" ORDER BY Date DESC""
#     --datecol="date"
#     --copy
#     --column="text"
################################################################################
Day,Month,Average Rainfall
1,1,1.043
2,1,1.03
3,1,0.963
4,1,0.927
5,1,0.803
6,1,0.741
7,1,0.745
8,1,0.763
9,1,0.735
10,1,0.725
11,1,0.739
12,1,0.743
13,1,0.737
14,1,0.715
15,1,0.714
16,1,0.724
17,1,0.719
18,1,0.8
19,1,0.855
20,1,0.956
21,1,0.991
22,1,0.975
23,1,0.964
24,1,1.049
25,1,1.077
26,1,1.024
27,1,1.055
28,1,1.094
29,1,1.083
30,1,1.077
31,1,1.014
1,2,0.947
2,2,0.835
3,2,0.859
4,2,0.894
5,2,0.899
6,2,0.794
7,2,0.766
8,2,0.776
9,2,0.81
10,2,0.805
11,2,0.898
12,2,1.014
13,2,1.02
14,2,1.077
15,2,1.142
16,2,1.138
17,2,1.133
18,2,1.186
19,2,1.225
20,2,1.23
21,2,1.278
22,2,1.195
23,2,1.159
24,2,1.079
25,2,0.973
26,2,0.944
27,2,0.856
28,2,0.896
29,2,1.206
1,3,0.844
2,3,0.926
3,3,0.937
4,3,1.019
5,3,0.992
6,3,0.995
7,3,1.073
8,3,1.045
9,3,1.14
10,3,1.281
11,3,1.397
12,3,1.42
13,3,1.398
14,3,1.454
15,3,1.394
16,3,1.417
17,3,1.459
18,3,1.488
19,3,1.489
20,3,1.603
21,3,1.735
22,3,1.761
23,3,1.672
24,3,1.652
25,3,1.725
26,3,1.871
27,3,1.972
28,3,2.139
29,3,2.1
30,3,2.061
31,3,2.108
1,4,2.196
2,4,2.173
3,4,2.161
4,4,2.191
5,4,2.346
6,4,2.562
7,4,2.726
8,4,2.767
9,4,2.823
10,4,2.876
11,4,3.063
12,4,3.133
13,4,3.09
14,4,3.231
15,4,3.378
16,4,3.622
17,4,3.762
18,4,3.729
19,4,3.46
20,4,3.356
21,4,3.341
22,4,3.395
23,4,3.302
24,4,3.342
25,4,3.398
26,4,3.533
27,4,3.561
28,4,3.461
29,4,3.211
30,4,3.186
1,5,3.332
2,5,3.638
3,5,3.837
4,5,3.922
5,5,4.036
6,5,4.202
7,5,4.246
8,5,4.339
9,5,4.528
10,5,4.628
11,5,4.746
12,5,4.915
13,5,4.904
14,5,4.834
15,5,4.954
16,5,4.98
17,5,5.21
18,5,5.157
19,5,5.244
20,5,5.365
21,5,5.416
22,5,5.644
23,5,5.637
24,5,5.767
25,5,6.094
26,5,6.28
27,5,6.367
28,5,6.351
29,5,6.284
30,5,6.18
31,5,6.172
1,6,6.195
2,6,6.254
3,6,6.25
4,6,6.111
5,6,6.322
6,6,6.295
7,6,6.199
8,6,6.226
9,6,6.204
10,6,6.127
11,6,6.197
12,6,6.219
13,6,6.16
14,6,6.336
15,6,6.184
16,6,6.439
17,6,6.4
18,6,6.255
19,6,6.344
20,6,6.382
21,6,6.544
22,6,6.738
23,6,7.164
24,6,7.228
25,6,7.138
26,6,7.471
27,6,7.509
28,6,7.683
29,6,7.399
30,6,7.289
1,7,7.274
2,7,7.119
3,7,7.036
4,7,6.894
5,7,6.85
6,7,6.477
7,7,6.361
8,7,6.544
9,7,6.359
10,7,6.397
11,7,6.405
12,7,6.673
13,7,6.792
14,7,6.931
15,7,7.256
16,7,7.364
17,7,7.47
18,7,7.617
19,7,7.776
20,7,7.803
21,7,7.736
22,7,7.945
23,7,7.825
24,7,7.817
25,7,7.882
26,7,7.865
27,7,7.723
28,7,7.554
29,7,7.398
30,7,7.187
31,7,7.149
1,8,7.083
2,8,7.013
3,8,6.978
4,8,6.685
5,8,6.575
6,8,6.458
7,8,6.228
8,8,6.126
9,8,5.974
10,8,5.848
11,8,5.849
12,8,5.916
13,8,5.834
14,8,5.655
15,8,5.723
16,8,5.677
17,8,5.643
18,8,5.714
19,8,5.736
20,8,5.757
21,8,5.776
22,8,5.814
23,8,5.859
24,8,5.788
25,8,5.763
26,8,5.459
27,8,5.487
28,8,5.419
29,8,5.519
30,8,5.557
31,8,5.383
1,9,5.268
2,9,5.202
3,9,5.119
4,9,5.058
5,9,5.018
6,9,4.999
7,9,4.787
8,9,4.79
9,9,4.719
10,9,4.748
11,9,4.563
12,9,4.64
13,9,4.612
14,9,4.476
15,9,4.477
16,9,4.606
17,9,4.629
18,9,4.588
19,9,4.488
20,9,4.526
21,9,4.519
22,9,4.465
23,9,4.355
24,9,4.512
25,9,4.304
26,9,4.215
27,9,4.336
28,9,4.345
29,9,4.257
30,9,4.358
1,10,4.185
2,10,4.112
3,10,4.065
4,10,4.117
5,10,4.04
6,10,3.96
7,10,3.745
8,10,3.771
9,10,3.824
10,10,3.581
11,10,3.51
12,10,3.376
13,10,3.165
14,10,3.213
15,10,3.293
16,10,3.325
17,10,3.121
18,10,3.104
19,10,3.077
20,10,2.956
21,10,3.017
22,10,2.928
23,10,2.985
24,10,2.884
25,10,2.897
26,10,2.817
27,10,2.7
28,10,2.655
29,10,2.546
30,10,2.627
31,10,2.571
1,11,2.554
2,11,2.593
3,11,2.376
4,11,2.243
5,11,2.21
6,11,2.188
7,11,2.152
8,11,2.139
9,11,2.084
10,11,2.018
11,11,2.036
12,11,2.015
13,11,2.243
14,11,2.203
15,11,2.13
16,11,2.06
17,11,2.087
18,11,2.09
19,11,2.035
20,11,2.0
21,11,2.03
22,11,2.018
23,11,2.019
24,11,2.052
25,11,1.948
26,11,1.774
27,11,1.715
28,11,1.704
29,11,1.78
30,11,1.82
1,12,1.819
2,12,1.787
3,12,1.741
4,12,1.716
5,12,1.654
6,12,1.622
7,12,1.483
8,12,1.451
9,12,1.35
10,12,1.307
11,12,1.301
12,12,1.282
13,12,1.226
14,12,1.177
15,12,1.163
16,12,1.225
17,12,1.159
18,12,1.197
19,12,1.065
20,12,1.048
21,12,1.083
22,12,1.096
23,12,1.214
24,12,1.24
25,12,1.19
26,12,1.114
27,12,1.079
28,12,1.068
29,12,0.96
30,12,0.956
31,12,0.98
